year,STATE_ABBR,COUNTY_NAME,geoid_int,DEMO_VOTE,REP_VOTE,TOTAL_VOTE,DEMO_PER,REP_PER
2008,AL,AUTAUGA,1001,6093,17403,23641,0.257730214,0.736136373
2008,AL,BALDWIN,1003,19386,61271,81413,0.238119219,0.752594794
2008,AL,BARBOUR,1005,5697,5866,11630,0.489853826,0.504385211
2008,AL,BIBB,1007,2299,6262,8644,0.265964831,0.724433133
2008,AL,BLOUNT,1009,3522,20389,24267,0.145135369,0.840194503
2008,AL,BULLOCK,1011,4011,1391,5415,0.740720222,0.25687904
2008,AL,BUTLER,1013,4188,5485,9709,0.431352353,0.564939747
2008,AL,CALHOUN,1015,16334,32348,49242,0.331708704,0.65691889
2008,AL,CHAMBERS,1017,6799,8067,14956,0.45460016,0.539382188
2008,AL,CHEROKEE,1019,2306,7298,9745,0.236634171,0.74889687
2008,AL,CHILTON,1021,3674,13960,17785,0.206578577,0.784931122
2008,AL,CHOCTAW,1023,3636,4223,7894,0.46060299,0.534963263
2008,AL,CLARKE,1025,5914,7466,13435,0.440193524,0.555712691
2008,AL,CLAY,1027,1760,4984,6819,0.258102361,0.730898959
2008,AL,CLEBURNE,1029,1168,5216,6492,0.17991374,0.8034504
2008,AL,COFFEE,1031,5079,14919,20128,0.252335056,0.74120628
2008,AL,COLBERT,1033,9703,14739,24843,0.390572797,0.593285835
2008,AL,CONECUH,1035,3429,3470,6943,0.493878727,0.499783955
2008,AL,COOSA,1037,2273,3248,5563,0.408592486,0.583857631
2008,AL,COVINGTON,1039,3240,12444,15787,0.205232153,0.788243491
2008,AL,CRENSHAW,1041,1938,4319,6291,0.308059132,0.686536322
2008,AL,CULLMAN,1043,5864,28896,35305,0.166095454,0.818467639
2008,AL,DALE,1045,5270,13886,19320,0.272774327,0.71873706
2008,AL,DALLAS,1047,13986,6798,20852,0.670727029,0.326011893
2008,AL,DEKALB,1049,5658,17957,24015,0.235602748,0.747740995
2008,AL,ELMORE,1051,8301,25777,34315,0.241905872,0.751187527
2008,AL,ESCAMBIA,1053,5188,9375,14674,0.353550497,0.638885103
2008,AL,ETOWAH,1055,13497,30595,44737,0.301696582,0.683885822
2008,AL,FAYETTE,1057,1994,5883,7957,0.250596959,0.739349001
2008,AL,FRANKLIN,1059,3469,8048,11693,0.296673223,0.688275036
2008,AL,GENEVA,1061,2134,9417,11657,0.183065969,0.807840782
2008,AL,GREENE,1063,4408,876,5305,0.830914232,0.165127238
2008,AL,HALE,1065,4982,3200,8214,0.606525444,0.389578768
2008,AL,HENRY,1067,3018,5585,8648,0.348982424,0.645814061
2008,AL,HOUSTON,1069,12225,29254,41735,0.292919612,0.700946448
2008,AL,JACKSON,1071,6374,14083,20874,0.305355945,0.67466705
2008,AL,JEFFERSON,1073,166121,149921,318524,0.521533699,0.470674109
2008,AL,LAMAR,1075,1614,5419,7075,0.228127208,0.765936396
2008,AL,LAUDERDALE,1077,13329,24068,38104,0.349805795,0.631639723
2008,AL,LAWRENCE,1079,5164,9277,14680,0.351771117,0.631948229
2008,AL,LEE,1081,21498,32230,54325,0.395729406,0.593281178
2008,AL,LIMESTONE,1083,9536,23598,33551,0.284224017,0.703347143
2008,AL,LOWNDES,1085,5449,1809,7278,0.748694696,0.248557296
2008,AL,MACON,1087,9450,1396,10877,0.868805737,0.128344213
2008,AL,MADISON,1089,64117,86965,152899,0.41934218,0.568774158
2008,AL,MARENGO,1091,5926,5516,11471,0.516607096,0.480864789
2008,AL,MARION,1093,2600,9536,12355,0.210441117,0.771833266
2008,AL,MARSHALL,1095,7038,25727,33166,0.21220527,0.775704034
2008,AL,MOBILE,1097,82181,98049,181424,0.452977555,0.540441176
2008,AL,MONROE,1099,5025,6175,11252,0.446587273,0.548791326
2008,AL,MONTGOMERY,1101,62166,42031,104743,0.593509829,0.401277412
2008,AL,MORGAN,1103,13895,36014,50542,0.274919869,0.712555894
2008,AL,PERRY,1105,4457,1679,6159,0.723656438,0.27260919
2008,AL,PICKENS,1107,4594,5434,10067,0.456342505,0.539783451
2008,AL,PIKE,1109,5879,8004,13955,0.421282694,0.573557865
2008,AL,RANDOLPH,1111,3064,7175,10384,0.295069337,0.690966872
2008,AL,RUSSELL,1113,10085,8705,18915,0.533174729,0.460216759
2008,AL,ST. CLAIR,1115,6091,27649,34088,0.178684581,0.811106548
2008,AL,SHELBY,1117,20625,69060,90643,0.227541013,0.761890052
2008,AL,SUMTER,1119,5264,1731,7020,0.74985755,0.246581197
2008,AL,TALLADEGA,1121,13779,20112,34204,0.40284762,0.588001403
2008,AL,TALLAPOOSA,1123,6063,13116,19311,0.313966133,0.679198384
2008,AL,TUSCALOOSA,1125,32796,45405,78912,0.41560219,0.575387774
2008,AL,WALKER,1127,7420,20722,28652,0.258969705,0.72323049
2008,AL,WASHINGTON,1129,3067,5654,8775,0.34951567,0.644330484
2008,AL,WILCOX,1131,4612,1868,6494,0.710194025,0.287650139
2008,AL,WINSTON,1133,1757,8103,10031,0.175157013,0.807795833
2008,AZ,APACHE,4001,15390,8551,24262,0.634325282,0.352444151
2008,AZ,COCHISE,4003,18943,29026,48820,0.388017206,0.594551413
2008,AZ,COCONINO,4005,31433,22186,54344,0.57840792,0.408251141
