year,STATE_ABBR,COUNTY_NAME,geoid_int,DEMO_VOTE,REP_VOTE,TOTAL_VOTE,DEMO_PER,REP_PER
2012,AL,AUTAUGA,1001,6363,17379,23932,0.265878322,0.726182517
2012,AL,BALDWIN,1003,18424,66016,85338,0.215894443,0.773582695
2012,AL,BARBOUR,1005,5912,5550,11509,0.513684942,0.482231297
2012,AL,BIBB,1007,2202,6132,8420,0.26152019,0.728266033
2012,AL,BLOUNT,1009,2970,20757,24006,0.12371907,0.864658835
2012,AL,BULLOCK,1011,4061,1251,5322,0.763059,0.235062007
2012,AL,BUTLER,1013,4374,5087,9496,0.460614996,0.535699242
2012,AL,CALHOUN,1015,15511,30278,46257,0.335322222,0.654560391
2012,AL,CHAMBERS,1017,6871,7626,14611,0.470262131,0.521935528
2012,AL,CHEROKEE,1019,2132,7506,9779,0.218018202,0.767563146
2012,AL,CHILTON,1021,3397,13932,17462,0.194536708,0.797846753
2012,AL,CHOCTAW,1023,3786,4152,7968,0.475150602,0.521084337
2012,AL,CLARKE,1025,6334,7470,13851,0.457295502,0.539311241
2012,AL,CLAY,1027,1777,4817,6662,0.266736716,0.723056139
2012,AL,CLEBURNE,1029,971,5272,6305,0.154004758,0.836161776
2012,AL,COFFEE,1031,4925,14666,19770,0.24911482,0.741831057
2012,AL,COLBERT,1033,9166,13936,23385,0.391960659,0.595937567
2012,AL,CONECUH,1035,3555,3439,7022,0.506266021,0.489746511
2012,AL,COOSA,1037,2191,3049,5269,0.41582843,0.578667679
2012,AL,COVINGTON,1039,3158,12153,15423,0.204759126,0.787978992
2012,AL,CRENSHAW,1041,2050,4331,6418,0.319414148,0.674820816
2012,AL,CULLMAN,1043,5052,28999,34457,0.146617523,0.841599675
2012,AL,DALE,1045,5286,13108,18557,0.284852077,0.706364175
2012,AL,DALLAS,1047,14612,6288,20953,0.697370305,0.300100224
2012,AL,DEKALB,1049,5239,18331,23863,0.219544902,0.768176675
2012,AL,ELMORE,1051,8954,26253,35485,0.252331971,0.739833733
2012,AL,ESCAMBIA,1053,5489,9287,14869,0.369157307,0.624588069
2012,AL,ETOWAH,1055,12803,29130,42530,0.301034564,0.684928286
2012,AL,FAYETTE,1057,1817,6054,7946,0.228668512,0.761892776
2012,AL,FRANKLIN,1059,3171,7567,10859,0.292015839,0.69684133
2012,AL,GENEVA,1061,2039,9175,11320,0.180123675,0.810512367
2012,AL,GREENE,1063,4521,804,5340,0.846629213,0.150561798
2012,AL,HALE,1065,5411,3210,8643,0.626055768,0.37139882
2012,AL,HENRY,1067,3083,5628,8760,0.351940639,0.642465753
2012,AL,HOUSTON,1069,12367,29270,41918,0.295028389,0.698268047
2012,AL,JACKSON,1071,5822,14439,20577,0.28293726,0.701705788
2012,AL,JEFFERSON,1073,159876,141683,303918,0.52604979,0.466188248
2012,AL,LAMAR,1075,1646,5457,7166,0.229695786,0.761512699
2012,AL,LAUDERDALE,1077,12511,23911,36924,0.338831113,0.647573394
2012,AL,LAWRENCE,1079,5069,8874,14112,0.359197846,0.628826531
2012,AL,LEE,1081,21381,32194,54359,0.393329531,0.592247834
2012,AL,LIMESTONE,1083,9829,25295,35459,0.277193378,0.713359091
2012,AL,LOWNDES,1085,5747,1756,7521,0.764127111,0.23347959
2012,AL,MACON,1087,9045,1331,10394,0.870213585,0.128054647
2012,AL,MADISON,1089,62015,90884,155059,0.399944537,0.586125281
2012,AL,MARENGO,1091,6167,5336,11537,0.534541042,0.462511918
2012,AL,MARION,1093,2249,9697,12105,0.185790995,0.801073936
2012,AL,MARSHALL,1095,6299,25867,32566,0.193422588,0.794294663
2012,AL,MOBILE,1097,78760,94893,174864,0.450407174,0.542667444
2012,AL,MONROE,1099,4914,5741,10708,0.458909227,0.536141203
2012,AL,MONTGOMERY,1101,63085,38332,101924,0.618941564,0.376084141
